A Pipeline for Computer Aided Polyp Detection,2006,SciVis,Visualization in Medicine,"Wei Hong, Feng Qiu, Arie Kaufman",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Body Virtual Autopsies Using a State-of-the-art Volume Rendering Pipeline,2006,SciVis,Visualization in Medicine,"Patric Ljung, Calle Winskog, Anders Persson, Claes Lundström, Anders Ynnerman",,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Real-Time Illustration of Vascular Structures,2006,SciVis,Visualization in Medicine,"Felix Ritter, Christian Hansen, Volker Dicken, Olaf Konrad, Bernhard Preim, Heinz-Otto Peitgen",,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Lines of Curvature for Polyp Detection in Virtual Colonoscopy,2006,SciVis,Visualization in Medicine,"Lingxiao Zhao, Charl P. Botha, Javier O. Bescos, Roel Truyen, Frans M. Vos, Frits H. Post","Medical visualization, virtual colonoscopy, polyp detection, line of curvature, implicit surface.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outlier-Preserving Focus+Context Visualization in Parallel Coordinates,2006,SciVis,Information and MultiVariate Visualization,"Matej Novotny, Helwig Hauser","Parallel coordinates, focus+context visualization, outliers & trends, large data visualization.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite Rectilinear Deformation for Stretch and Squish Navigation,2006,SciVis,Information and MultiVariate Visualization,"James Slack, Tamara Munzner","Focus+Context, information visualization, real time rendering, navigation.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-variate, Time Varying, and Comparative Visualization with Contextual Cues",2006,SciVis,Information and MultiVariate Visualization,"Jonathan Woodring, Han-Wei Shen","multi-variate, time-varying, comparative, focus + context",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Multifield-Graphs: An Approach to Visualizing Correlations in Multifield Scalar Data,2006,SciVis,Information and MultiVariate Visualization,"Natascha Sauber, Holger Theisel, Hans-Peter Seidel","Visualization, multield, correlation.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saliency-guided Enhancement for Volume Visualization,2006,SciVis,Illustrative Visualization,"Youngmin Kim, Amitabh Varshney","Saliency, visual attention, perceptual enhancement, volume rendering, non-photorealistic rendering",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Importance-Driven Focus of Attention,2006,SciVis,Illustrative Visualization,"Ivan Viola, Miguel Feixas, Mateu Sbert, Meister Eduard Gröller","Illustrative visualization, volume visualization, interacting with volumetric datasets, characteristic viewpoint estimation, focus+context techniques",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ClearView: An Interactive Context Preserving Hotspot Visualization Technique,2006,SciVis,Illustrative Visualization,"Jens Krüger, Jens Schneider, Rüdiger Westermann","Focus & Context, GPU rendering, volume raycasting",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visualization Tools for Vorticity Transport Analysis in Incompressible Flow,2006,SciVis,Flow Visualization,"Filip Sadlo, Ronald Peikert, Mirjam Sick","Flow visualization, vorticity transport, unsteady ow, linked views",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vortex Visualization for Practical Engineering Applications,2006,SciVis,Flow Visualization,"Monika Jankun-Kelly, Ming Jiang, David Thompson, Raghu Machiraju","Vortex detection, vortex visualization, feature mining.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
An Advanced Evenly-Spaced Streamline Placement Algorithm,2006,SciVis,Flow Visualization,"Zhanping Liu, Robert J. Moorhead II, Joe Groner","Flow visualization, evenly-spaced streamlines, streamline placement, seeding strategy, closed streamlines.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
